,Protest,country
2011-04-02,7,Tunisia
2011-04-03,1,Tunisia
2011-04-04,1,Tunisia
2011-04-05,0,Tunisia
2011-04-06,1,Tunisia
2011-04-07,0,Tunisia
2011-04-08,0,Tunisia
2011-04-09,0,Tunisia
2011-04-10,0,Tunisia
2011-04-11,2,Tunisia
2011-04-12,2,Tunisia
2011-04-13,0,Tunisia
2011-04-14,0,Tunisia
2011-04-15,1,Tunisia
2011-04-16,0,Tunisia
2011-04-17,0,Tunisia
2011-04-18,0,Tunisia
2011-04-19,1,Tunisia
2011-04-20,0,Tunisia
2011-04-21,0,Tunisia
2011-04-22,0,Tunisia
2011-04-23,0,Tunisia
2011-04-24,0,Tunisia
2011-04-25,0,Tunisia
2011-04-26,0,Tunisia
2011-04-27,0,Tunisia
2011-04-28,1,Tunisia
2011-04-29,0,Tunisia
2011-04-30,1,Tunisia
2011-05-01,0,Tunisia
2011-05-02,2,Tunisia
2011-05-03,1,Tunisia
2011-05-04,2,Tunisia
2011-05-05,0,Tunisia
2011-05-06,6,Tunisia
2011-05-07,6,Tunisia
2011-05-08,9,Tunisia
2011-05-09,6,Tunisia
2011-05-10,0,Tunisia
2011-05-11,2,Tunisia
2011-05-12,3,Tunisia
2011-05-13,0,Tunisia
2011-05-14,2,Tunisia
2011-05-15,0,Tunisia
2011-05-16,0,Tunisia
2011-05-17,0,Tunisia
2011-05-18,0,Tunisia
2011-05-19,0,Tunisia
2011-05-20,0,Tunisia
2011-05-21,0,Tunisia
2011-05-22,0,Tunisia
2011-05-23,0,Tunisia
2011-05-24,0,Tunisia
2011-05-25,0,Tunisia
2011-05-26,0,Tunisia
2011-05-27,0,Tunisia
2011-05-28,0,Tunisia
2011-05-29,0,Tunisia
2011-05-30,1,Tunisia
2011-05-31,0,Tunisia
2011-06-01,0,Tunisia
2011-06-02,0,Tunisia
2011-06-03,0,Tunisia
2011-06-04,0,Tunisia
2011-06-05,0,Tunisia
2011-06-06,1,Tunisia
2011-06-07,0,Tunisia
2011-06-08,0,Tunisia
2011-06-09,0,Tunisia
2011-06-10,0,Tunisia
2011-06-11,0,Tunisia
2011-06-12,3,Tunisia
2011-06-13,0,Tunisia
2011-06-14,0,Tunisia
2011-06-15,1,Tunisia
2011-06-16,0,Tunisia
2011-06-17,0,Tunisia
2011-06-18,0,Tunisia
2011-06-19,0,Tunisia
2011-06-20,0,Tunisia
2011-06-21,1,Tunisia
2011-06-22,0,Tunisia
2011-06-23,0,Tunisia
2011-06-24,0,Tunisia
2011-06-25,0,Tunisia
2011-06-26,0,Tunisia
2011-06-27,0,Tunisia
2011-06-28,1,Tunisia
2011-06-29,2,Tunisia
