Event_ID,Event_Date,Source_Name,Source_Sectors,Source_Country,Event_Text,CAMEO_Code,Intensity,Target_Name,Target_Sectors,Target_Country,Story_ID,Sentence_Number,Publisher,City,District,Province,Country,Latitude,Longitude,CAMEO_Code_Modified
17925393,2011-11-20,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,"Protest violently, riot",145,-7.5,Military Personnel - Special (Egypt),"Government,Military",Egypt,16134724,6,Deutsche Welle,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,145
17925403,2011-11-20,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,"Protest violently, riot",145,-7.5,Police (Egypt),"Government,Police",Egypt,16135594,1,The Toronto Star,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,145
17925419,2011-11-20,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,,16135898,3,BBC Monitoring Newsfile,,,,Egypt,30.0626,31.2497,141
17925450,2011-11-20,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,"Protest violently, riot",145,-7.5,Police (Egypt),"Government,Police",Egypt,16151272,1,The Jerusalem Post,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,145
17925447,2011-11-20,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,Demonstrate or rally,141,-6.5,Egyptian Armed Forces,"Government,Military",Egypt,16151272,1,The Jerusalem Post,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,141
17925448,2011-11-20,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,,16151272,5,The Jerusalem Post,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,141
17926575,2011-11-20,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,"Protest violently, riot",145,-7.5,Police (Egypt),"Government,Police",Egypt,33616824,5,Le Progres Egyptien,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,145
17926573,2011-11-20,Citizen (Egypt),"Social,General Population / Civilian / Social",Egypt,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,,33616824,6,Le Progres Egyptien,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,141
17926589,2011-11-20,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,"Protest violently, riot",145,-7.5,Police (Egypt),"Government,Police",Egypt,33617388,1,L'Expression,Cairo,,Muhafazat al Qahirah,Egypt,30.0626,31.2497,145
17926590,2011-11-20,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,"Protest violently, riot",145,-7.5,Suez,"Government,Municipal,Local,Provincial",Egypt,33617388,5,L'Expression,Alexandria,,Muhafazat al Iskandariyah,Egypt,31.2156,29.9553,145
17926593,2011-11-20,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,Demonstrate or rally,141,-6.5,Police (Egypt),"Government,Police",Egypt,33617404,1,L'Expression,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,141
17926603,2011-11-20,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,Demonstrate or rally,141,-6.5,Police (Egypt),"Government,Police",Egypt,33617529,2,L'Expression,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,141
17926604,2011-11-20,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,,33617529,4,L'Expression,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,141
17926605,2011-11-20,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,,33617562,3,L'Expression,Cairo,,Muhafazat al Qahirah,Egypt,30.0626,31.2497,141
17926607,2011-11-20,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,"Protest violently, riot",145,-7.5,Police (Egypt),"Government,Police",Egypt,33617812,4,Euronews,Cairo,,Muhafazat al Qahirah,Egypt,30.0626,31.2497,145
17926612,2011-11-20,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,"Protest violently, riot",145,-7.5,Police (Egypt),"Government,Police",Egypt,33617846,3,Euronews,Cairo,,Muhafazat al Qahirah,Egypt,30.0626,31.2497,145
17926624,2011-11-20,Citizen (Egypt),"Social,General Population / Civilian / Social",Egypt,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,,33618142,5,All Africa,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,141
17926626,2011-11-20,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,"Protest violently, riot",145,-7.5,Police (Egypt),"Government,Police",Egypt,33618142,6,All Africa,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,145
17926884,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,Demonstrate or rally,141,-6.5,Military Police (Egypt),"Government,Military",Egypt,16118080,1,The Wall Street Journal,Cairo,,Muhafazat al Qahirah,Egypt,30.0626,31.2497,141
17926950,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,"Protest violently, riot",145,-7.5,Police (Egypt),"Government,Police",Egypt,16119391,1,Agence France-Presse,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,145
17926949,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,,16119391,4,Agence France-Presse,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,141
17926952,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,Demonstrate or rally,141,-6.5,Police (Egypt),"Government,Police",Egypt,16119392,2,All Africa,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,141
17926954,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,Demonstrate or rally,141,-6.5,Mohamed Hussein Tantawi,"Military,Elite,Nubian,Government,Executive Office,Cabinet,Executive,Defense / Security Ministry,International Ethnic,Army",Egypt,16119392,5,All Africa,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,141
17926953,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,Demonstrate or rally,141,-6.5,Supreme Council of the Armed Forces,"Government,Military",Egypt,16119392,5,All Africa,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,141
17926971,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,"Protest violently, riot",145,-7.5,Military Personnel - Special (Egypt),"Government,Military",Egypt,16119414,1,Guardian Unlimited,Cairo,,Muhafazat al Qahirah,Egypt,30.0626,31.2497,145
17927081,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,"Protest violently, riot",145,-7.5,Unspecified Actor,Unspecified,,16121663,1,Deutsche Welle,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,145
17927082,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,"Protest violently, riot",145,-7.5,Police (Egypt),"Government,Police",Egypt,16121663,3,Deutsche Welle,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,145
17927083,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,"Protest violently, riot",145,-7.5,Military Personnel - Special (Egypt),"Government,Military",Egypt,16121663,6,Deutsche Welle,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,145
17927096,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,"Protest violently, riot",145,-7.5,Police (Egypt),"Government,Police",Egypt,16121674,1,Agence France-Presse,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,145
17927093,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,Demonstrate or rally,141,-6.5,Police (Egypt),"Government,Police",Egypt,16121674,2,Agence France-Presse,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,141
17927094,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,Demonstrate or rally,141,-6.5,Police (Egypt),"Government,Police",Egypt,16121674,3,Agence France-Presse,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,141
17927095,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,Demonstrate or rally,141,-6.5,Egyptian Armed Forces,"Government,Military",Egypt,16121674,3,Agence France-Presse,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,141
17927247,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,Demonstrate or rally,141,-6.5,Police (Egypt),"Government,Police",Egypt,16127212,2,AAP Bulletins,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,141
17927248,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,Demonstrate or rally,141,-6.5,Egyptian Armed Forces,"Government,Military",Egypt,16127212,2,AAP Bulletins,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,141
17927419,2011-11-21,Citizen (Syria),"Social,General Population / Civilian / Social",Syria,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,,16127740,3,BBC Monitoring Middle East,Cairo,,Muhafazat al Qahirah,Egypt,30.0626,31.2497,141
17927425,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,Demonstrate or rally,141,-6.5,Police (Egypt),"Government,Police",Egypt,16128134,1,Guardian Unlimited,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,141
17927428,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,"Protest violently, riot",145,-7.5,Military Ruler (Egypt),"Government,Executive,Defense / Security Ministry",Egypt,16128782,1,Associated Press Newswires,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,145
17927427,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,Demonstrate or rally,141,-6.5,Police (Egypt),"Government,Police",Egypt,16128782,2,Associated Press Newswires,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,141
17927481,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,Demonstrate or rally,141,-6.5,Police (Egypt),"Government,Police",Egypt,16130726,2,Reuters News,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,141
17927486,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,"Protest violently, riot",145,-7.5,Military Personnel - Special (Egypt),"Government,Military",Egypt,16130753,1,Reuters News,Cairo,,Muhafazat al Qahirah,Egypt,30.0626,31.2497,145
17927553,2011-11-21,Citizen (Egypt),"Social,General Population / Civilian / Social",Egypt,"Protest violently, riot",145,-7.5,Police (Egypt),"Government,Police",Egypt,16131013,1,Xinhua News Agency,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,145
17927552,2011-11-21,Citizen (Egypt),"Social,General Population / Civilian / Social",Egypt,Demonstrate or rally,141,-6.5,Police (Egypt),"Government,Police",Egypt,16131013,2,Xinhua News Agency,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,141
17927555,2011-11-21,Citizen (Egypt),"Social,General Population / Civilian / Social",Egypt,"Protest violently, riot",145,-7.5,Police (Egypt),"Government,Police",Egypt,16131013,3,Xinhua News Agency,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,145
17927611,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,"Protest violently, riot",145,-7.5,Police (Egypt),"Government,Police",Egypt,16132894,2,BBC Monitoring Newsfile,Cairo,,Muhafazat al Qahirah,Egypt,30.0626,31.2497,145
17927706,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,"Protest violently, riot",145,-7.5,Police (Egypt),"Government,Police",Egypt,16134499,1,Agence France-Presse,Cairo,,Muhafazat al Qahirah,Egypt,30.0626,31.2497,145
17927705,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,,16134499,2,Agence France-Presse,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,141
17927803,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,"Protest violently, riot",145,-7.5,Police (Egypt),"Government,Police",Egypt,16137313,1,Trend News Agency (Azerbaijan),Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,145
17927843,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,,16137733,1,Agence France-Presse,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,141
17927844,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,,16137733,5,Agence France-Presse,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,141
17927890,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,"Protest violently, riot",145,-7.5,Police (Egypt),"Government,Police",Egypt,16137797,1,Agence France-Presse,,,,Egypt,30.0626,31.2497,145
17927889,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,,16137797,5,Agence France-Presse,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,141
17928009,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,,16138465,1,Agence France-Presse,,,,Egypt,30.0626,31.2497,141
17928064,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,"Protest violently, riot",145,-7.5,Military Personnel - Special (Egypt),"Government,Military",Egypt,16139768,3,Al Jazeera English,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,145
17928117,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,"Protest violently, riot",145,-7.5,Police (Egypt),"Government,Police",Egypt,16140922,1,Deutsche Welle,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,145
17928118,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,"Protest violently, riot",145,-7.5,Police (Egypt),"Government,Police",Egypt,16140922,3,Deutsche Welle,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,145
17928116,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,,16140922,4,Deutsche Welle,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,141
17928119,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,"Protest violently, riot",145,-7.5,Police (Egypt),"Government,Police",Egypt,16140922,5,Deutsche Welle,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,145
17928120,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,"Protest violently, riot",145,-7.5,Military Personnel - Special (Egypt),"Government,Military",Egypt,16140922,6,Deutsche Welle,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,145
17928140,2011-11-21,Citizen (Egypt),"Social,General Population / Civilian / Social",Egypt,"Protest violently, riot",145,-7.5,Police (Egypt),"Government,Police",Egypt,16140941,1,All Africa,Cairo,,Muhafazat al Qahirah,Egypt,30.0626,31.2497,145
17928139,2011-11-21,Citizen (Egypt),"Social,General Population / Civilian / Social",Egypt,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,,16140941,2,All Africa,Cairo,,Muhafazat al Qahirah,Egypt,30.0626,31.2497,141
17928165,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,"Protest violently, riot",145,-7.5,Military Personnel - Special (Egypt),"Government,Military",Egypt,16143963,5,Al Arabiya,,,,Egypt,30.0626,31.2497,145
17928202,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,"Protest violently, riot",145,-7.5,Police (Egypt),"Government,Police",Egypt,16144629,1,Agence France-Presse,,,,Egypt,30.0626,31.2497,145
17928201,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,,16144629,4,Agence France-Presse,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,141
17928276,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,"Protest violently, riot",145,-7.5,Police (Egypt),"Government,Police",Egypt,16146340,2,Reuters News,Cairo,,Muhafazat al Qahirah,Egypt,30.0626,31.2497,145
17928283,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,"Protest violently, riot",145,-7.5,Police (Egypt),"Government,Police",Egypt,16146355,1,Xinhua News Agency,Cairo,,Muhafazat al Qahirah,Egypt,30.0626,31.2497,145
17928299,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,,16146374,2,Reuters News,Cairo,,Muhafazat al Qahirah,Egypt,30.0626,31.2497,141
17928312,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,"Protest violently, riot",145,-7.5,Military Personnel - Special (Egypt),"Government,Military",Egypt,16146417,2,London Evening Standard,Cairo,,Muhafazat al Qahirah,Egypt,30.0626,31.2497,145
17928352,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,Demonstrate or rally,141,-6.5,Military Personnel - Special (Egypt),"Government,Military",Egypt,16146470,2,Al Jazeera English,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,141
17928353,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,"Protest violently, riot",145,-7.5,Egyptian Armed Forces,"Government,Military",Egypt,16146470,6,Al Jazeera English,Cairo,,Muhafazat al Qahirah,Egypt,30.0626,31.2497,145
17928386,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,Demonstrate or rally,141,-6.5,Police (Egypt),"Government,Police",Egypt,16146500,5,Agence France-Presse,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,141
17928387,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,Demonstrate or rally,141,-6.5,Egyptian Armed Forces,"Government,Military",Egypt,16146500,5,Agence France-Presse,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,141
17928446,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,,16147039,5,Agence France-Presse,,,,Egypt,30.0626,31.2497,141
17928478,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,"Protest violently, riot",145,-7.5,Military Personnel - Special (Egypt),"Government,Military",Egypt,16147447,4,Spiegel Online International,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,145
17928482,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,"Protest violently, riot",145,-7.5,Police (Egypt),"Government,Police",Egypt,16147449,1,Agence France-Presse,Cairo,,Muhafazat al Qahirah,Egypt,30.0626,31.2497,145
17928525,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,"Protest violently, riot",145,-7.5,Police (Egypt),"Government,Police",Egypt,16147536,1,Xinhua News Agency,Cairo,,Muhafazat al Qahirah,Egypt,30.0626,31.2497,145
17928529,2011-11-21,Citizen (Egypt),"Social,General Population / Civilian / Social",Egypt,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,,16147979,4,Al Arabiya,,,,Egypt,30.0626,31.2497,141
17928601,2011-11-21,Protester (Egypt),"Dissident,Protestors / Popular Opposition / Mobs",Egypt,"Protest violently, riot",145,-7.5,Police (Egypt),"Government,Police",Egypt,16149551,1,The Tripoli Post,Tahrir Square,,Muhafazat al Qahirah,Egypt,30.0453,31.2354,145
