,Protest,country
2011-01-16,0,Libya
2011-01-17,0,Libya
2011-01-18,0,Libya
2011-01-19,0,Libya
2011-01-20,0,Libya
2011-01-21,0,Libya
2011-01-22,0,Libya
2011-01-23,0,Libya
2011-01-24,0,Libya
2011-01-25,1,Libya
2011-01-26,0,Libya
2011-01-27,0,Libya
2011-01-28,1,Libya
2011-01-29,0,Libya
2011-01-30,0,Libya
2011-01-31,0,Libya
2011-02-01,0,Libya
2011-02-02,0,Libya
2011-02-03,0,Libya
2011-02-04,0,Libya
2011-02-05,0,Libya
2011-02-06,0,Libya
2011-02-07,0,Libya
2011-02-08,0,Libya
2011-02-09,0,Libya
2011-02-10,0,Libya
2011-02-11,0,Libya
2011-02-12,0,Libya
2011-02-13,0,Libya
2011-02-14,1,Libya
2011-02-15,0,Libya
2011-02-16,39,Libya
2011-02-17,42,Libya
2011-02-18,37,Libya
2011-02-19,18,Libya
2011-02-20,21,Libya
2011-02-21,53,Libya
2011-02-22,45,Libya
2011-02-23,21,Libya
2011-02-24,8,Libya
2011-02-25,24,Libya
2011-02-26,7,Libya
2011-02-27,13,Libya
2011-02-28,8,Libya
2011-03-01,3,Libya
2011-03-02,10,Libya
2011-03-03,3,Libya
2011-03-04,31,Libya
2011-03-05,10,Libya
2011-03-06,2,Libya
2011-03-07,2,Libya
2011-03-08,2,Libya
2011-03-09,2,Libya
2011-03-10,2,Libya
2011-03-11,12,Libya
2011-03-12,4,Libya
2011-03-13,1,Libya
2011-03-14,1,Libya
2011-03-15,3,Libya
2011-03-16,7,Libya
2011-03-17,0,Libya
2011-03-18,6,Libya
2011-03-19,2,Libya
2011-03-20,2,Libya
2011-03-21,1,Libya
2011-03-22,3,Libya
2011-03-23,0,Libya
2011-03-24,0,Libya
2011-03-25,1,Libya
2011-03-26,0,Libya
2011-03-27,0,Libya
2011-03-28,1,Libya
2011-03-29,3,Libya
2011-03-30,2,Libya
2011-03-31,3,Libya
2011-04-01,2,Libya
2011-04-02,1,Libya
2011-04-03,2,Libya
2011-04-04,0,Libya
2011-04-05,0,Libya
2011-04-06,1,Libya
2011-04-07,0,Libya
2011-04-08,1,Libya
2011-04-09,1,Libya
2011-04-10,1,Libya
2011-04-11,7,Libya
2011-04-12,2,Libya
2011-04-13,1,Libya
2011-04-14,1,Libya
2011-04-15,2,Libya
2011-04-16,0,Libya
2011-04-17,0,Libya
2011-04-18,1,Libya
2011-04-19,2,Libya
2011-04-20,0,Libya
2011-04-21,0,Libya
2011-04-22,1,Libya
2011-04-23,1,Libya
2011-04-24,1,Libya
2011-04-25,0,Libya
2011-04-26,2,Libya
2011-04-27,0,Libya
2011-04-28,0,Libya
2011-04-29,0,Libya
2011-04-30,0,Libya
2011-05-01,4,Libya
2011-05-02,2,Libya
2011-05-03,1,Libya
2011-05-04,6,Libya
2011-05-05,0,Libya
2011-05-06,0,Libya
2011-05-07,0,Libya
2011-05-08,0,Libya
2011-05-09,0,Libya
2011-05-10,0,Libya
2011-05-11,0,Libya
2011-05-12,0,Libya
2011-05-13,1,Libya
2011-05-14,0,Libya
2011-05-15,0,Libya
2011-05-16,2,Libya
2011-05-17,1,Libya
2011-05-18,1,Libya
2011-05-19,0,Libya
2011-05-20,0,Libya
2011-05-21,0,Libya
2011-05-22,0,Libya
2011-05-23,0,Libya
2011-05-24,0,Libya
2011-05-25,0,Libya
2011-05-26,0,Libya
2011-05-27,0,Libya
2011-05-28,0,Libya
