,Protest,country
2011-07-04,4,Syria
2011-07-05,11,Syria
2011-07-06,2,Syria
2011-07-07,4,Syria
2011-07-08,9,Syria
2011-07-09,1,Syria
2011-07-10,2,Syria
2011-07-11,14,Syria
2011-07-12,11,Syria
2011-07-13,2,Syria
2011-07-14,7,Syria
2011-07-15,21,Syria
2011-07-16,13,Syria
2011-07-17,3,Syria
2011-07-18,2,Syria
2011-07-19,1,Syria
2011-07-20,1,Syria
2011-07-21,2,Syria
2011-07-22,28,Syria
2011-07-23,8,Syria
2011-07-24,2,Syria
2011-07-25,3,Syria
2011-07-26,0,Syria
2011-07-27,1,Syria
2011-07-28,4,Syria
2011-07-29,15,Syria
2011-07-30,2,Syria
2011-07-31,2,Syria
2011-08-01,6,Syria
2011-08-02,10,Syria
2011-08-03,5,Syria
2011-08-04,7,Syria
2011-08-05,20,Syria
2011-08-06,5,Syria
2011-08-07,4,Syria
2011-08-08,9,Syria
2011-08-09,0,Syria
2011-08-10,6,Syria
2011-08-11,3,Syria
2011-08-12,11,Syria
2011-08-13,4,Syria
2011-08-14,0,Syria
2011-08-15,1,Syria
2011-08-16,2,Syria
2011-08-17,1,Syria
2011-08-18,3,Syria
2011-08-19,10,Syria
2011-08-20,7,Syria
2011-08-21,1,Syria
2011-08-22,1,Syria
2011-08-23,1,Syria
2011-08-24,0,Syria
2011-08-25,3,Syria
2011-08-26,9,Syria
2011-08-27,7,Syria
2011-08-28,1,Syria
2011-08-29,2,Syria
2011-08-30,8,Syria
2011-08-31,1,Syria
2011-09-01,1,Syria
2011-09-02,2,Syria
2011-09-03,4,Syria
2011-09-04,1,Syria
2011-09-05,1,Syria
2011-09-06,0,Syria
2011-09-07,1,Syria
2011-09-08,5,Syria
2011-09-09,4,Syria
2011-09-10,2,Syria
2011-09-11,1,Syria
2011-09-12,0,Syria
2011-09-13,3,Syria
2011-09-14,0,Syria
2011-09-15,1,Syria
2011-09-16,3,Syria
2011-09-17,3,Syria
2011-09-18,0,Syria
2011-09-19,4,Syria
2011-09-20,1,Syria
2011-09-21,0,Syria
2011-09-22,0,Syria
2011-09-23,4,Syria
2011-09-24,4,Syria
2011-09-25,0,Syria
2011-09-26,0,Syria
2011-09-27,0,Syria
2011-09-28,1,Syria
2011-09-29,4,Syria
2011-09-30,7,Syria
2011-10-01,2,Syria
2011-10-02,1,Syria
2011-10-03,0,Syria
2011-10-04,1,Syria
2011-10-05,1,Syria
2011-10-06,4,Syria
2011-10-07,11,Syria
2011-10-08,4,Syria
2011-10-09,1,Syria
2011-10-10,1,Syria
2011-10-11,2,Syria
2011-10-12,5,Syria
2011-10-13,8,Syria
2011-10-14,9,Syria
2011-10-15,3,Syria
2011-10-16,0,Syria
2011-10-17,0,Syria
2011-10-18,5,Syria
2011-10-19,2,Syria
2011-10-20,8,Syria
2011-10-21,7,Syria
2011-10-22,1,Syria
2011-10-23,0,Syria
2011-10-24,2,Syria
2011-10-25,2,Syria
2011-10-26,11,Syria
2011-10-27,8,Syria
2011-10-28,12,Syria
2011-10-29,8,Syria
2011-10-30,1,Syria
2011-10-31,3,Syria
