,Protest,country
2011-06-17,0,Egypt
2011-06-18,0,Egypt
2011-06-19,0,Egypt
2011-06-20,1,Egypt
2011-06-21,0,Egypt
2011-06-22,0,Egypt
2011-06-23,0,Egypt
2011-06-24,3,Egypt
2011-06-25,2,Egypt
2011-06-26,3,Egypt
2011-06-27,0,Egypt
2011-06-28,6,Egypt
2011-06-29,30,Egypt
2011-06-30,20,Egypt
2011-07-01,5,Egypt
2011-07-02,3,Egypt
2011-07-03,1,Egypt
2011-07-04,4,Egypt
2011-07-05,4,Egypt
2011-07-06,14,Egypt
2011-07-07,8,Egypt
2011-07-08,11,Egypt
2011-07-09,8,Egypt
2011-07-10,6,Egypt
2011-07-11,6,Egypt
2011-07-12,11,Egypt
2011-07-13,8,Egypt
2011-07-14,4,Egypt
2011-07-15,11,Egypt
2011-07-16,6,Egypt
2011-07-17,10,Egypt
2011-07-18,10,Egypt
2011-07-19,3,Egypt
2011-07-20,2,Egypt
2011-07-21,7,Egypt
2011-07-22,10,Egypt
2011-07-23,18,Egypt
2011-07-24,7,Egypt
2011-07-25,2,Egypt
2011-07-26,2,Egypt
2011-07-27,3,Egypt
2011-07-28,0,Egypt
2011-07-29,6,Egypt
2011-07-30,4,Egypt
2011-07-31,7,Egypt
2011-08-01,5,Egypt
2011-08-02,3,Egypt
2011-08-03,4,Egypt
2011-08-04,1,Egypt
2011-08-05,0,Egypt
2011-08-06,2,Egypt
2011-08-07,0,Egypt
2011-08-08,0,Egypt
2011-08-09,0,Egypt
2011-08-10,0,Egypt
2011-08-11,1,Egypt
2011-08-12,9,Egypt
2011-08-13,3,Egypt
2011-08-14,2,Egypt
2011-08-15,1,Egypt
2011-08-16,0,Egypt
2011-08-17,4,Egypt
2011-08-18,1,Egypt
2011-08-19,0,Egypt
2011-08-20,11,Egypt
2011-08-21,8,Egypt
2011-08-22,7,Egypt
2011-08-23,0,Egypt
2011-08-24,0,Egypt
2011-08-25,1,Egypt
2011-08-26,0,Egypt
2011-08-27,2,Egypt
2011-08-28,0,Egypt
2011-08-29,0,Egypt
2011-08-30,0,Egypt
2011-08-31,1,Egypt
2011-09-01,0,Egypt
2011-09-02,0,Egypt
2011-09-03,0,Egypt
2011-09-04,1,Egypt
2011-09-05,14,Egypt
2011-09-06,2,Egypt
2011-09-07,1,Egypt
2011-09-08,0,Egypt
2011-09-09,16,Egypt
2011-09-10,46,Egypt
2011-09-11,13,Egypt
2011-09-12,7,Egypt
2011-09-13,7,Egypt
2011-09-14,2,Egypt
2011-09-15,5,Egypt
2011-09-16,6,Egypt
2011-09-17,3,Egypt
2011-09-18,2,Egypt
2011-09-19,2,Egypt
2011-09-20,1,Egypt
2011-09-21,2,Egypt
2011-09-22,0,Egypt
2011-09-23,0,Egypt
2011-09-24,3,Egypt
2011-09-25,1,Egypt
2011-09-26,1,Egypt
2011-09-27,1,Egypt
2011-09-28,7,Egypt
2011-09-29,2,Egypt
2011-09-30,7,Egypt
2011-10-01,11,Egypt
2011-10-02,3,Egypt
2011-10-03,5,Egypt
2011-10-04,7,Egypt
2011-10-05,3,Egypt
2011-10-06,1,Egypt
2011-10-07,2,Egypt
2011-10-08,0,Egypt
2011-10-09,23,Egypt
2011-10-10,26,Egypt
2011-10-11,25,Egypt
2011-10-12,18,Egypt
2011-10-13,4,Egypt
2011-10-14,2,Egypt
2011-10-15,0,Egypt
2011-10-16,2,Egypt
2011-10-17,2,Egypt
2011-10-18,0,Egypt
2011-10-19,1,Egypt
2011-10-20,0,Egypt
2011-10-21,0,Egypt
2011-10-22,0,Egypt
2011-10-23,0,Egypt
2011-10-24,0,Egypt
2011-10-25,1,Egypt
2011-10-26,0,Egypt
2011-10-27,0,Egypt
2011-10-28,8,Egypt
2011-10-29,2,Egypt
2011-10-30,3,Egypt
2011-10-31,6,Egypt
2011-11-01,4,Egypt
2011-11-02,1,Egypt
2011-11-03,1,Egypt
2011-11-04,0,Egypt
2011-11-05,0,Egypt
2011-11-06,0,Egypt
